"country","rateBoth","rateMale","rateFemale"
"Nauru","52.1000","51.7000","52.6000"
"Kiribati","52","68.6000","35.5000"
"Tuvalu","48.7000","66","31.4000"
"Myanmar","45.5000","70.2000","20.8000"
"Chile","44.7000","49.2000","40.3000"
"Lebanon","42.6000","49.4000","35.9000"
"Serbia","40.6000","40","41.2000"
"Bangladesh","39.1000","60.6000","17.7000"
"Greece","39.1000","45.3000","32.8000"
"Bulgaria","38.9000","42.5000","35.3000"
"Bosnia and Herzegovina","38.3000","46.3000","30.2000"
"Timor-Leste","38.2000","65.8000","10.7000"
"Indonesia","37.9000","70.5000","5.3000"
"Solomon Islands","37.9000","55.9000","19.9000"
"Laos","37.8000","60.1000","15.5000"
"Latvia","36.7000","49.5000","24"
"Cyprus","36.7000","50.1000","23.3000"
"Croatia","36.6000","37.9000","35.3000"
"France","34.6000","36","33.2000"
"Andorra","33.8000","38.1000","29.5000"
"Slovakia","32.3000","38.6000","26"
"Nepal","31.9000","48.6000","15.3000"
"South Africa","31.4000","46.8000","16"
"Hungary","30.6000","34.8000","26.4000"
"Estonia","30.5000","36.9000","24.1000"
"Tonga","30.2000","48.4000","12.1000"
"Georgia","29.7000","54.2000","5.2000"
"Lesotho","29.7000","54.7000","4.6000"
"Turkey","29.3000","41.5000","17"
"Albania","29.2000","50.5000","7.9000"
"Austria","29.1000","30.4000","27.7000"
"Madagascar","28.9000","46.9000","11"
"Samoa","28.9000","40.8000","16.9000"
"Russia","28.3000","40.9000","15.7000"
"Germany","28","29.9000","26"
"Spain","27.9000","29.1000","26.7000"
"Portugal","27.9000","33.3000","22.4000"
"Kyrgyzstan","27.9000","52.5000","3.4000"
"Mongolia","27.6000","49.1000","6.2000"
"Cuba","27.1000","39.7000","14.5000"
"Lithuania","27.1000","35.3000","19"
"India","27","42","12.1000"
"Mauritius","26.9000","48.3000","5.4000"
"Armenia","26.7000","51.8000","1.6000"
"Fiji","26.7000","42.3000","11.1000"
"Belarus","26.6000","42.8000","10.4000"
"Cook Islands","26.6000","31.3000","21.8000"
"Poland","26","30.3000","21.6000"
"Tunisia","26","49.1000","2.9000"
"Ukraine","25.5000","41","9.9000"
"Romania","25.5000","35.2000","15.8000"
"Israel","25.5000","35.2000","15.8000"
"Moldova","25.3000","44.6000","6"
"United States of America","25.1000","30.9000","19.3000"
"Switzerland","25.1000","27.8000","22.5000"
"Bahrain","25.1000","41.5000","8.6000"
"Malta","25.1000","27.8000","22.5000"
"Belgium","25","26.9000","23.1000"
"China","24.7000","47.7000","1.8000"
"Kazakhstan","24.4000","42.2000","6.6000"
"Philippines","24.3000","41.6000","7"
"Vanuatu","24.1000","45","3.3000"
"Botswana","23.7000","37.3000","10.1000"
"Palau","23.7000","36.3000","11.2000"
"Ireland","23.6000","26.1000","21.2000"
"Italy","23.4000","27.1000","19.6000"
"Netherlands","23.4000","25.6000","21.3000"
"Sri Lanka","22.9000","43.2000","2.7000"
"Thailand","22.8000","42.5000","3.1000"
"Slovenia","22.7000","25.1000","20.3000"
"Iraq","22.2000","40.8000","3.6000"
"Kuwait","22.1000","40.9000","3.4000"
"South Korea","22","38.2000","5.9000"
"Japan","21.9000","33.2000","10.5000"
"Argentina","21.8000","28.2000","15.4000"
"Malaysia","21.8000","42.7000","1"
"Cambodia","21.8000","37.4000","6.3000"
"Uruguay","21.8000","25.2000","18.4000"
"Luxembourg","21.7000","23.6000","19.8000"
"Egypt","21.4000","42.3000","0.4000"
"Seychelles","21.1000","35.3000","6.9000"
"Yemen","20.9000","32.5000","9.3000"
"Pakistan","20","33.6000","6.4000"
"Sierra Leone","19.8000","31","8.5000"
"Finland","19.7000","21","18.3000"
"Azerbaijan","19.6000","39","0.2000"
"Comoros","19.5000","29.9000","9.2000"
"United Kingdom","19.2000","21.1000","17.3000"
"Algeria","18.8000","36.3000","1.4000"
"North Korea","18.8000","37.5000","0"
"Denmark","18.6000","18.4000","18.7000"
"United Arab Emirates","18.2000","35.6000","0.8000"
"Namibia","17.9000","28.4000","7.4000"
"Canada","17.5000","22.7000","12.4000"
"Saudi Arabia","16.6000","31.2000","2"
"Brazil","16.5000","21.5000","11.5000"
"Singapore","16.5000","27.8000","5.1000"
"Australia","16.2000","18.7000","13.6000"
"Dem. Rep. Congo","16.1000","30.1000","2"
"Burkina Faso","16","24.9000","7.2000"
"Brunei","15.5000","28.6000","2.5000"
"New Zealand","14.8000","16.1000","13.5000"
"Morocco","14.7000","28.6000","0.9000"
"Zambia","14.7000","25","4.4000"
"Mozambique","14.4000","23.4000","5.4000"
"Gambia","14.4000","27.3000","1.5000"
"Iran","14","24.6000","3.5000"
"Qatar","14","26.7000","1.3000"
"Mexico","13.9000","21.2000","6.5000"
"Zimbabwe","13.9000","26.5000","1.3000"
"Iceland","13.8000","13.9000","13.7000"
"Tanzania","13.3000","23.5000","3.1000"
"Rwanda","13.3000","19.7000","6.9000"
"Ivory Coast","13","24.3000","1.6000"
"Norway","13","15.5000","10.5000"
"Malawi","12.8000","20.4000","5.2000"
"Paraguay","12.8000","20.8000","4.7000"
"El Salvador","12.7000","22.8000","2.5000"
"Burundi","12.6000","18.8000","6.4000"
"Uzbekistan","12.3000","23.3000","1.3000"
"Guyana","12.2000","22.1000","2.2000"
"Mali","12","22.4000","1.7000"
"Kenya","11.8000","20.8000","2.8000"
"Chad","11.8000","21.3000","2.3000"
"Jamaica","11","17.7000","4.2000"
"Bahamas","10.9000","18.6000","3.2000"
"Eswatini","10.7000","19.1000","2.2000"
"Uganda","9.8000","15.5000","4"
"Costa Rica","9.8000","14.7000","5"
"Peru","9.6000","15.6000","3.6000"
"Oman","9.6000","18.5000","0.7000"
"Dominican Rep.","9.4000","11.2000","7.5000"
"Cameroon","9.3000","17.5000","1.2000"
"Senegal","9.1000","17.4000","0.7000"
"Barbados","8.7000","15","2.3000"
"Niger","8.6000","16.3000","0.8000"
"Liberia","8.4000","15.1000","1.8000"
"Haiti","8.3000","13.3000","3.3000"
"Sweden","8","6","8"
"Colombia","7.9000","12.2000","3.7000"
"Togo","7.6000","13.5000","1.6000"
"Benin","7.2000","12.4000","1.9000"
"Eritrea","7.2000","14.2000","0.3000"
"Panama","6.9000","11.1000","2.7000"
"Sao Tome and Principe","5.4000","9.5000","1.4000"
"Nigeria","4.8000","9","0.5000"
"Ethiopia","4.6000","8.3000","0.9000"
"Ghana","3.7000","7","0.4000"